date,long sleeves,culottes,miniskirt,short sleeves,printed,short cardigan,solid colours,trapeze dress,sleeveless,long cardigan,sheath dress,short coat,medium coat,doll dress,long dress,shorts,long coat,tracksuit,drop sleeve,patterned,kimono dress,medium cardigan,shirt dress,maxi,capris,gitana skirt,long duster,yellow,brown,blue,grey,green,black,red,white,orange,violet,acrylic,scuba crepe,tulle,angora,faux leather,georgette,lurex,nice,crepe,satin cotton,silky satin,fur,matte jersey,plisse,velvet,lace,cotton,piquet,plush,bengaline,jacquard,frise,technical,cady,dark jeans,light jeans,ity,plumetis,polyviscous,dainetto,webbing,foam rubber,chanel,marocain,macrame,embossed,heavy jeans,nylon,tencel,paillettes,chambree,chine crepe,muslin cotton or silk,linen,tactel,viscose twill,cloth,mohair,mutton,scottish,milano stitch,devore,hron,ottoman,fluid,flamed,fluid polyviscous,shiny jersey,goose
1/18/2016,52,43,61,63,60,19,38,31.8,64,48,62,51,40,64,86,36,47,33,23,78,42,0,67.4,71,35,0,25,76,63,72,18,77,27,56,77,63,55,67,0,74,68,47,29,16,18,41,45,61,65,73,38,57,82,63,24,39,21,87,78,84,26,66,66,69,32,-1,0,65,50,70,88,51,61,57,80,26,20,63,35,-1,62,41,0,85,81,48,62,0,17,13,67,81,35,-1,34,44
1/25/2016,51,49,64,65,63,29,26,42.6,67,61,58,58,25,53,87,37,36,34,69,74,48,35,66,67,28,0,45,75,64,67,18,71,27,59,77,63,52,63,19,79,70,50,31,21,18,51,32,83,58,37,37,59,81,67,28,37,4,83,69,85,28,64,61,69,16,-1,0,49,51,71,90,51,61,25,78,46,18,0,35,-1,60,33,51,87,63,42,62,0,15,21,73,83,31,-1,0,38
2/1/2016,49,48,51,44,62,32,26,24.6,64,59,63,41,40,62,81,38,32,29,23,73,32,0,70.4,68,30,0,35,78,69,74,18,71,28,59,82,64,48,67,0,78,74,42,33,19,18,100,63,41,56,90,39,60,76,68,27,39,3,78,68,90,25,62,60,61,26,-1,0,48,52,70,83,59,67,8,83,39,13,0,14,-1,61,49,100,82,42,43,64,0,29,16,68,81,39,-1,0,32
2/8/2016,49,46,65,65,66,29,0,54,66,54,57,34,30,55,72,39,34,34,46,85,50,0,71.8,66,36,0,10,78,65,75,18,70,28,61,79,63,47,65,0,76,62,46,36,15,19,55,45,51,56,36,34,65,79,66,29,41,28,72,70,86,25,65,62,66,21,-1,0,48,57,72,96,47,69,24,79,36,17,0,14,-1,57,33,0,86,48,40,63,0,27,24,71,80,47,-1,0,34
2/15/2016,45,41,48,70,62,54,50,49.8,67,37,59,49,30,68,81,39,32,32,45,74,48,17,67,67,37,0,49,76,64,73,18,71,27,59,78,62,58,64,0,73,58,37,28,19,19,44,31,10,57,0,28,60,78,66,30,42,10,73,61,86,22,57,65,60,67,-1,0,46,47,73,85,57,76,32,83,32,17,62,21,-1,61,26,0,82,53,39,60,38,20,22,66,81,42,-1,34,33
2/22/2016,45,55,56,47,66,38,25,43.6,68,57,60,37,10,75,80,43,24,30,34,82,52,17,77.8,70,42,0,44,80,62,73,17,73,26,58,79,59,52,66,0,84,67,43,33,17,18,40,38,20,53,36,25,55,81,71,21,37,21,75,64,88,31,45,65,80,15,-1,0,58,70,71,79,60,77,32,82,33,13,0,21,-1,65,41,0,86,51,42,57,76,18,22,71,85,50,-1,34,29
2/29/2016,44,56,61,61,63,34,62,58.4,75,40,66,35,15,59,75,46,25,32,33,75,55,17,71.4,71,40,0,53,91,64,71,18,71,27,59,78,60,56,63,17,78,59,50,32,13,18,36,42,48,48,69,33,50,78,68,28,38,7,74,71,85,26,62,56,73,30,-1,0,53,79,66,91,58,73,46,77,44,13,30,27,-1,63,27,0,87,45,44,58,0,17,11,61,83,59,-1,0,28
3/7/2016,45,56,47,77,63,29,13,42.4,78,51,72,36,49,55,80,50,23,29,23,83,59,0,72.8,71,60,0,40,84,61,71,17,76,25,58,79,63,56,63,0,82,62,43,31,13,21,36,57,40,46,54,29,49,82,70,33,36,28,83,64,93,24,51,63,61,21,-1,0,67,68,72,85,58,66,32,98,41,18,31,28,-1,69,34,0,90,51,45,65,0,26,24,66,85,35,-1,0,32
3/14/2016,43,57,65,76,66,58,13,60.2,82,40,73,32,20,54,88,50,24,32,46,85,45,0,79,75,46,0,35,81,61,69,16,73,26,56,77,63,56,64,0,77,54,37,27,15,19,36,62,20,41,18,22,59,83,69,30,36,10,76,69,83,30,81,67,57,31,-1,0,56,54,67,92,65,77,56,83,44,13,31,34,-1,68,21,0,88,44,43,65,0,22,22,62,83,34,-1,0,25
3/21/2016,46,52,62,67,63,43,26,75.2,77,51,62,22,31,50,76,50,19,34,35,86,55,18,72.6,80,46,100,57,86,60,73,17,73,26,58,79,63,56,67,0,73,59,43,27,12,19,36,39,21,44,37,43,58,79,68,28,38,4,79,66,79,24,52,64,60,37,-1,0,56,43,68,94,61,62,33,81,53,12,32,28,-1,63,24,0,82,44,57,55,39,20,18,67,83,39,-1,0,30
3/28/2016,45,58,56,74,62,39,13,54.8,77,46,60,39,20,59,72,50,21,31,46,81,56,17,78.2,76,50,0,40,83,61,77,17,74,26,58,79,63,55,64,0,82,69,42,28,14,19,35,6,41,43,55,51,53,78,69,33,38,14,91,63,86,25,56,61,70,26,-1,0,56,41,67,93,61,62,41,84,46,14,32,28,-1,67,24,0,85,42,45,58,0,19,21,67,84,35,-1,0,27
4/4/2016,48,57,55,92,65,57,63,59,81,47,77,44,25,71,79,52,24,34,34,76,52,17,75.6,83,60,0,40,82,62,76,17,75,26,60,82,61,55,66,18,82,80,44,33,19,18,36,38,91,44,54,33,56,83,70,37,36,38,75,69,79,24,67,66,57,21,-1,0,69,66,67,89,61,55,32,82,40,21,0,28,-1,72,39,0,89,45,41,60,38,29,13,72,83,46,-1,0,27
4/11/2016,43,67,62,63,68,35,0,56.6,81,45,87,38,15,54,84,53,19,27,57,85,64,0,81.2,78,51,0,60,85,62,72,17,76,26,62,77,59,52,67,0,81,61,45,33,13,20,33,44,91,43,36,49,54,83,72,32,38,24,82,59,83,29,59,71,67,26,-1,0,60,73,65,76,57,68,24,82,49,13,94,77,-1,74,39,0,87,45,47,100,38,17,14,63,85,46,-1,0,27
4/18/2016,41,74,67,78,68,67,25,82.8,79,47,67,43,25,59,75,60,18,27,0,80,53,17,80,75,77,0,35,86,63,73,17,76,26,64,82,62,53,62,0,72,59,34,38,13,20,38,57,30,42,36,43,51,80,74,32,34,35,83,69,81,25,60,85,71,31,-1,93,51,66,64,82,60,58,16,79,52,13,0,21,-1,70,30,50,86,45,45,73,0,22,22,61,86,50,-1,0,28
4/25/2016,41,61,63,66,66,51,25,77.2,83,51,78,23,10,65,73,55,20,33,34,83,54,17,79.4,76,63,0,39,85,61,72,17,78,25,60,82,62,51,71,36,88,60,29,31,16,19,37,25,61,45,36,43,52,86,73,34,36,14,77,74,81,26,54,73,67,10,-1,0,70,47,66,85,59,68,40,84,42,14,31,28,-1,70,47,0,87,49,46,61,0,24,17,62,83,42,-1,34,27
5/2/2016,45,60,60,58,66,52,39,69.6,79,44,78,19,30,58,81,60,20,30,70,89,62,0,86.6,80,67,0,25,87,63,76,17,80,26,63,87,59,53,66,19,78,62,37,28,14,20,41,39,73,42,74,44,58,85,72,35,35,18,77,65,77,24,47,68,66,37,-1,0,61,68,71,85,62,64,33,83,50,12,0,0,-1,74,37,51,89,39,45,76,0,15,20,66,80,20,-1,0,27
5/9/2016,40,65,56,57,65,74,0,49.8,87,47,61,25,15,53,74,66,18,27,11,80,67,0,86.6,80,65,0,25,86,61,71,16,74,25,59,80,62,51,62,0,78,57,33,26,12,20,37,32,61,41,0,54,53,81,72,36,38,14,60,56,84,26,50,85,68,26,-1,0,58,74,69,79,58,76,49,83,57,18,0,35,-1,77,58,0,85,39,38,58,0,24,16,62,82,39,-1,0,25
5/16/2016,43,66,45,86,64,60,25,53.4,78,51,74,20,20,58,78,58,19,28,68,82,59,17,93.4,74,51,0,49,87,62,77,17,74,25,61,84,61,55,64,0,70,57,40,25,11,22,34,44,20,39,18,46,48,79,73,40,38,42,77,67,83,23,54,54,68,37,-1,0,100,62,62,83,55,53,0,85,53,14,0,21,-1,74,39,0,89,36,46,68,39,19,8,63,79,39,-1,68,28
5/23/2016,42,63,54,78,67,62,52,59.8,88,47,47,19,10,42,68,69,19,30,23,73,59,0,86.2,79,78,0,31,85,59,71,17,77,25,62,82,62,55,66,0,71,50,32,30,16,24,36,7,52,39,56,45,47,78,74,38,40,14,81,68,80,22,64,71,72,16,-1,0,70,81,66,80,63,69,100,83,55,16,0,36,-1,79,44,0,91,40,45,60,0,18,15,69,79,44,-1,35,26
5/30/2016,37,67,55,84,63,69,26,47.2,92,60,64,30,26,52,66,77,16,29,12,82,57,18,84,77,77,0,31,85,58,76,17,77,25,61,84,65,51,66,0,70,59,32,40,15,25,38,39,42,38,0,48,47,76,76,38,43,32,72,64,76,24,54,57,67,48,-1,0,61,51,65,91,61,68,17,84,62,19,32,65,-1,80,62,52,87,29,52,55,0,27,21,62,74,36,-1,0,25
6/6/2016,39,69,64,71,65,72,39,50.6,87,55,69,25,20,43,74,77,20,24,58,85,62,18,89.2,80,73,0,36,86,61,72,16,75,27,60,82,64,51,64,0,64,59,36,32,15,23,38,84,83,39,18,57,44,78,76,36,41,28,73,61,81,24,51,71,66,27,-1,0,84,63,64,75,58,66,25,82,49,17,0,28,-1,81,55,0,83,38,47,53,0,19,16,60,78,63,-1,35,24
6/13/2016,38,65,50,61,64,75,39,74.4,81,39,68,48,10,59,64,68,17,29,46,82,57,35,84.4,78,60,0,40,84,59,71,16,81,26,62,83,79,48,65,0,78,59,33,45,8,23,38,51,31,39,55,42,45,76,73,38,41,17,74,66,79,20,46,56,74,5,-1,94,54,41,64,73,50,60,41,80,69,18,32,28,-1,76,61,0,87,43,52,55,0,30,21,56,75,59,-1,0,25
6/20/2016,39,60,46,82,64,63,13,90.4,88,60,59,28,5,51,65,73,20,32,0,76,46,18,80.8,81,61,0,31,85,60,75,16,73,27,60,80,84,48,63,0,67,52,28,37,22,21,35,33,31,38,37,43,45,76,71,34,42,21,78,64,81,26,57,74,63,32,-1,0,53,71,64,75,61,76,33,81,47,15,32,29,-1,76,53,0,93,43,52,66,40,22,25,58,75,64,-1,35,23
6/27/2016,40,62,46,74,61,46,91,34.4,81,56,62,35,10,59,60,70,18,31,12,78,77,0,79,77,56,0,15,86,61,77,16,73,27,61,82,74,47,64,0,69,58,31,44,17,20,36,58,21,38,19,49,44,76,71,39,42,14,62,57,81,18,52,58,64,37,-1,0,59,68,63,77,64,72,0,76,45,18,0,43,-1,74,46,0,89,34,51,67,0,25,13,55,72,44,-1,0,25
7/4/2016,39,58,56,70,62,39,55,84.8,83,59,46,22,16,57,63,70,15,27,37,86,72,19,77,77,54,0,22,87,63,79,16,77,28,63,86,71,51,66,0,67,55,36,41,23,22,36,48,11,39,39,74,45,76,72,32,43,34,69,60,73,25,62,59,73,45,-1,0,69,70,66,81,55,69,35,79,62,14,34,68,-1,71,52,0,89,49,63,73,0,25,26,56,76,68,-1,0,26
7/11/2016,38,58,61,47,59,48,41,70.2,78,48,54,29,27,69,63,67,20,29,12,83,40,19,76.2,72,68,0,21,91,63,75,16,77,27,61,82,62,47,64,0,70,50,37,33,10,100,35,27,75,39,19,42,43,74,70,32,41,18,73,58,75,23,42,58,55,0,-1,0,60,37,63,70,60,62,17,82,47,11,0,0,-1,69,45,0,87,34,46,65,0,27,25,58,75,49,-1,0,24
7/18/2016,40,60,60,80,61,28,28,51.2,89,35,64,31,5,58,59,76,16,23,25,80,55,38,73.4,75,67,0,38,95,64,78,16,78,27,64,83,63,48,67,0,74,50,35,74,16,37,33,20,76,37,19,43,47,77,77,27,47,30,61,60,78,17,44,71,58,22,-1,0,50,81,64,70,65,70,26,80,62,11,0,22,-1,76,53,54,91,40,47,53,0,24,22,57,77,33,-1,36,24
7/25/2016,40,63,49,66,62,42,41,93.6,83,41,59,22,5,65,66,70,20,23,25,77,75,38,83.6,77,48,0,49,94,63,80,17,77,25,62,85,63,46,68,0,66,57,38,100,15,23,34,47,32,40,0,54,47,74,72,35,44,18,70,60,81,21,54,83,50,11,-1,0,64,71,64,73,63,63,26,78,54,10,100,30,-1,74,37,0,93,39,47,54,0,24,46,62,74,62,-1,0,26
8/1/2016,43,56,68,75,61,49,28,62.6,80,39,77,24,11,52,71,66,20,26,12,88,59,38,78.2,77,49,0,44,88,58,79,16,87,25,60,82,59,49,64,0,67,62,38,45,17,21,34,48,0,40,39,46,46,78,70,35,47,48,76,54,79,22,44,82,50,28,-1,0,62,92,66,74,56,64,26,77,33,11,0,45,-1,83,49,0,89,34,45,54,0,24,39,58,74,33,-1,37,28
8/8/2016,41,64,56,44,59,32,43,50,67,41,62,16,11,57,65,62,15,29,64,88,43,39,84,68,46,0,6,82,57,73,15,80,24,60,78,58,46,62,0,67,53,32,36,13,20,36,56,67,37,60,29,47,77,68,26,40,31,76,65,81,22,44,56,48,40,-1,0,67,65,65,68,56,56,0,73,37,13,35,46,-1,74,36,55,89,47,47,54,0,21,48,52,71,26,-1,38,25
8/15/2016,41,55,41,80,61,44,29,65.2,68,45,47,26,11,65,60,59,18,28,52,86,42,0,76.6,68,43,0,34,83,57,76,15,74,24,57,76,55,47,63,0,69,60,37,33,22,20,35,72,35,38,41,49,45,74,67,24,43,44,66,60,79,22,56,52,56,12,-1,0,55,71,64,72,59,64,56,77,33,8,0,16,-1,72,47,0,86,44,45,53,0,97,37,56,71,49,-1,0,26
8/22/2016,42,64,55,52,61,21,28,69.4,69,45,57,25,27,55,67,57,23,26,50,78,51,19,77,70,41,0,49,83,58,71,16,74,25,59,79,58,56,63,0,63,56,37,29,17,20,34,48,66,42,20,44,45,77,68,25,42,26,74,64,85,22,73,76,65,6,-1,0,55,75,62,65,61,68,44,78,36,8,0,8,-1,66,37,0,87,40,48,54,0,35,24,55,76,42,-1,0,28
8/29/2016,51,48,66,60,63,44,13,48,68,55,61,31,16,57,72,54,23,29,73,78,59,0,87.6,73,38,0,32,88,84,74,16,75,25,61,80,60,53,66,0,70,55,47,32,16,20,34,60,32,44,57,35,51,74,73,29,44,44,69,68,87,24,59,73,90,44,-1,0,63,72,65,67,61,63,34,78,41,11,0,44,-1,64,41,0,86,43,48,57,41,27,19,63,78,45,-1,0,29
9/5/2016,53,61,62,84,61,17,13,64.2,68,57,66,38,10,69,78,55,23,32,24,71,46,0,89.8,72,40,0,53,86,64,75,17,79,27,61,80,61,56,61,0,71,56,41,26,17,19,33,53,32,48,38,38,66,89,74,27,42,40,78,79,81,21,69,58,56,22,-1,0,56,60,62,64,57,54,17,81,51,12,33,37,-1,64,20,0,89,47,57,58,0,34,40,66,81,37,-1,0,30
9/12/2016,56,58,49,53,62,50,40,56,67,63,51,39,36,59,78,50,28,31,48,75,53,18,87.6,66,39,0,42,81,67,74,19,78,25,61,79,62,52,61,0,85,59,40,36,23,21,34,39,63,50,56,53,59,78,72,25,39,36,74,84,82,22,60,85,68,27,-1,0,72,56,63,64,49,59,76,78,55,12,32,36,-1,59,38,52,85,55,87,56,0,20,30,62,83,32,-1,0,30
9/19/2016,60,62,45,44,66,39,13,32,72,55,50,40,20,66,75,45,29,31,47,80,41,0,87.8,64,45,0,61,83,66,74,18,76,26,62,79,60,58,60,0,69,67,41,33,19,21,38,33,73,52,19,36,60,82,71,31,39,54,81,83,83,27,57,92,76,16,-1,0,64,54,66,72,54,56,42,79,50,12,0,36,-1,64,47,0,88,62,58,55,40,25,21,62,85,100,-1,35,31
9/26/2016,67,59,55,64,63,33,26,76.4,62,100,60,53,20,62,84,42,31,36,35,80,59,18,89.2,66,36,0,41,80,61,72,17,75,25,63,77,61,55,59,0,77,68,44,32,21,20,34,32,62,55,37,45,59,79,72,26,40,42,79,78,83,29,69,70,66,11,-1,0,61,51,65,69,60,63,25,77,35,18,0,28,-1,61,31,0,86,61,45,55,0,24,26,63,81,75,-1,0,32
10/3/2016,71,50,49,54,62,33,13,50.6,72,77,56,43,20,76,93,40,41,40,35,70,65,0,88.2,65,30,0,76,80,61,84,16,78,26,61,77,58,57,63,18,84,57,53,34,22,19,36,19,41,59,0,44,65,79,73,29,38,28,77,72,76,27,82,85,64,16,-1,0,50,57,67,70,49,63,57,76,32,16,32,28,-1,58,35,0,84,68,38,54,0,24,18,60,81,39,-1,0,37
10/10/2016,74,36,49,53,64,30,13,43.6,66,90,60,71,15,79,97,39,42,38,47,94,36,0,92,68,28,0,56,80,63,80,17,78,25,61,76,59,58,63,0,83,67,58,35,30,20,38,20,21,63,37,51,66,81,72,30,42,29,78,68,76,23,73,68,68,16,-1,0,58,54,66,70,53,59,0,80,47,10,32,43,-1,58,20,0,86,62,52,56,0,26,28,66,85,44,-1,35,41
10/17/2016,75,48,53,77,64,36,39,39,59,71,34,57,15,79,85,40,39,39,58,82,55,0,86.6,71,34,0,55,80,64,81,17,78,25,63,78,57,56,65,37,90,59,56,35,28,20,41,70,41,61,36,34,66,80,72,29,40,35,74,57,78,25,72,96,98,16,-1,0,59,29,66,70,52,66,24,82,37,19,0,28,-1,59,30,0,90,63,49,52,0,22,18,67,84,27,-1,0,39
10/24/2016,70,49,50,63,64,16,26,37.8,58,76,54,66,20,98,82,41,43,41,23,70,34,18,88.4,68,26,0,96,78,65,69,16,77,28,59,80,57,60,63,0,100,64,66,28,20,20,44,26,31,66,18,49,66,79,71,23,42,32,71,75,78,32,66,65,80,42,-1,0,47,62,63,89,60,57,41,76,35,16,32,28,-1,58,48,0,88,73,53,58,39,20,10,70,86,51,-1,0,40
10/31/2016,60,51,39,44,61,33,26,42.4,59,77,44,44,30,63,77,36,48,43,58,69,36,0,73.8,66,23,0,61,76,62,69,16,74,29,59,78,56,57,63,0,77,67,53,29,30,19,41,19,42,67,37,43,67,75,78,25,43,32,75,75,77,27,74,68,81,43,-1,0,49,78,66,84,47,67,67,82,35,19,32,22,-1,59,57,0,87,79,46,55,0,19,13,73,83,60,-1,0,41
11/7/2016,69,56,65,79,69,29,25,28.6,61,63,53,50,44,68,87,36,53,40,79,83,33,0,76,64,23,0,54,74,57,67,16,75,33,57,82,55,57,63,0,69,63,49,26,26,18,38,31,20,73,0,34,65,72,77,26,46,48,80,60,74,32,59,87,71,46,-1,0,60,37,65,76,51,58,63,79,37,18,61,20,-1,60,61,0,81,77,41,56,38,26,17,67,77,23,-1,100,42
11/14/2016,70,54,41,42,67,42,26,34.2,58,55,52,78,30,46,91,37,49,54,46,91,32,18,78.6,69,23,0,61,74,61,74,17,76,39,58,82,59,55,65,18,77,66,58,25,29,18,36,38,61,76,18,44,70,76,77,29,53,41,78,70,78,25,80,83,88,31,-1,0,58,47,70,68,53,57,40,83,45,19,31,21,-1,62,47,0,92,73,43,56,38,20,25,69,82,65,-1,0,46
11/21/2016,79,39,54,47,66,16,0,48.6,73,84,56,94,65,61,87,39,67,59,23,100,50,35,80.8,72,30,0,75,74,69,74,18,86,86,58,81,60,57,63,18,76,64,75,32,36,19,37,31,40,87,36,47,79,80,80,30,61,38,88,69,69,23,84,73,71,41,-1,0,60,63,74,78,52,86,64,82,41,20,31,21,-1,59,44,49,90,76,44,56,38,35,16,68,75,38,-1,0,57
11/28/2016,85,46,57,53,71,25,12,52.2,70,83,82,85,39,82,88,40,62,58,44,91,51,17,83.4,68,23,0,82,72,61,76,20,74,31,60,79,58,56,68,0,74,73,67,29,33,19,34,49,39,90,0,63,78,80,84,22,72,40,85,63,78,21,77,77,74,20,-1,0,56,50,75,75,57,88,31,84,44,29,30,20,-1,60,41,0,89,68,48,60,0,27,14,71,80,33,-1,0,49
12/5/2016,84,52,47,62,72,45,12,26,63,90,53,65,84,74,85,40,64,57,21,82,44,33,86.4,67,26,0,52,73,63,75,18,75,27,60,86,57,58,69,17,67,82,63,26,33,19,34,24,48,90,0,42,84,76,84,22,71,56,90,69,79,24,77,77,76,34,-1,0,52,58,79,72,51,83,38,81,41,26,0,20,-1,58,57,0,88,74,42,53,0,19,18,71,84,44,-1,0,51
12/12/2016,76,48,53,56,68,28,12,43,63,81,47,88,34,58,76,40,65,56,34,79,47,51,80.6,65,22,0,64,71,62,76,18,77,26,57,84,58,59,71,18,64,69,64,31,38,20,35,18,49,90,17,52,89,73,75,26,70,27,89,66,73,22,51,81,71,30,-1,0,43,76,83,69,51,72,16,80,33,28,30,13,-1,54,69,0,87,64,44,57,37,20,15,64,78,37,-1,0,55
